text_id,text,hate,moh_text
hasoc_en_3964,We should ALL fight back against donnie dump's unconstitutional question on the new census that asks if you are a citizen! Check off □not a citizen!! fucktrump,1,We should ALL fight back against रोनी dumps unconstitutional question on the new census that asks if you are a citizen Check off not a citizen ट्रम्प
hasoc_en_1143,The 'new law' fake promises are coming!     SaveTheDoctors  SAVETHESAVIOUR   DoctorsStrike   doctors_against_assualt   DoctorsFightBack,0,The new law fake promises are coming SaveTheDoctors SAVETHESAVIOUR DoctorsStrike doctors_against_assualt DoctorsFightBack
hasoc_en_3045,"Dear doctors,  The respect you get is  NOTHING in front of the hardwork and sacrifices you put in to get that degree.     STOP POLITICIZING THIS PROFESSION . IT HAS NOTHING TO DO WITH POLITICS ,IT'S HUMANITY  Act like humans🙏  DoctorsFightBack  IstandwithNRS   DoctorsUnderOppression",0,Dear doctors The respect you get is NOTHING in front of the नेटवर्क and sacrifices you put in to get that degree STOP POLITICIZING THIS PROFESSION IT HAS NOTHING TO DO WITH POLITICS ITS HUMANITY Act like humans DoctorsFightBack IstandwithNRS DoctorsUnderOppression
hasoc_en_2923,How will he defend us from him....resign,1,How will he defend us from हाईडिज़ाइन
hasoc_en_3972,Loser    SenileAF StableGenius racist rapist pervert treason Resist UnstablePresident,1,Loser सेनाइल टेबल-टेनिस racist rapist pervert treason Resist UnstablePresident
hasoc_en_272,I didn't realise it had ever broken down (or was ever allowed to operate fully in the first place because of British Government oppression).,0,I दीन रीयलटाइम it had ever broken down or was ever allowed to operate fully in the first place because of British Government oppression
hasoc_en_3603,"Just imagine where we will be by the end of this first term...  Then consider where we will be if he is re-elected to another 4 years...  Let’s go, America — we have a democracy to defend! 🇺🇸 Vote ResistTogether TrumpIsATraitor",0,Just imagine where we will be by the end of this first term Then consider where we will be if he is reelected to another 4 years Lets go America we have a democracy to defend Vote टूगैदर TrumpIsATraitor
hasoc_en_2998,UnfollowTrump  UnfollowTrump  UnfollowTrump  UnfollowTrump  UnfollowTrump  UnfollowTrump  &amp; JUST 2 break it up a LITTLE...  FuckTrump TOO,1,UnfollowTrump UnfollowTrump UnfollowTrump UnfollowTrump UnfollowTrump UnfollowTrump amp JUST 2 break it up a LITTLE FuckTrump TOO
hasoc_en_1974,"Seen in The Deccan Chronicle (Bangalore, Karnataka, India) today. Looks like  made a good impression internationally in the  debate. Brexit conservativeleadership BorisJohnsonShouldNotBePM",0,Seen in The Deccan Chronicle Bangalore कर्नाटका India today Looks like made a good impression internationally in the debate Brexit कंजरवेटिव BorisJohnsonShouldNotBePM
hasoc_en_2942,"So, rape is still a crime, right?  So, if a rapist gets parentalrights, does a bank robber get to keep the money?",0,So rape is still a crime right So if a rapist gets प्रीलाइट does a bank robber get to keep the money
hasoc_en_2412,spycam lesbians kazakhstan dating sites cum grannies doctors oral sex pussy fuck ass fucked girl getting fucked clips nipples sex phat ass fucked fuck housewife girls have real sex sex stories real nipples cock pic.twitter.com/XtSNYnH8oI,1,स्पैम lesbians काज़ाख़स्तान dating sites cum grannies doctors oral sex pussy fuck ass fucked girl getting fucked clips nipples sex phat ass fucked fuck housewife girls have real sex sex stories real nipples cock pictwittercomXtSNYnH8oI
hasoc_en_5620,Interviewer- Why are you beating up the protesting doctors. They haven't done anything wrong.    Policeman-  DoctorsFightBack,1,Interviewer Why are you beating up the protesting doctors They हैवन done anything wrong Policeman DoctorsFightBack
hasoc_en_5263,ShameOnICC INDvsNZ CWC19  New logo of world cup 👇👇👇,0,ShameOnICC INDvsNZ CWC19 New logo of world cup
hasoc_en_2950,"-parrots 'I've been very clear'  -doubles down on GoHomeVans  -pitches party survival priority  -Brexit by NoDeal exit his strategy  Boringly flat regurgitated 'red, white &amp; blue Brexit' that 'we're going to make a success of'    douchebag",0,parrots वे been very clear doubles down on GoHomeVans pitches party survival priority Brexit by NoDeal exit his strategy Boringly flat regurgitated red white amp blue Brexit that were going to make a success of डूश
hasoc_en_3776,This - is - remarkable.     TrumpIsATraitor TrumpMustGo TrumpMustResign Happy JohnMcCainDay,0,This is remarkable TrumpIsATraitor TrumpMustGo TrumpMustResign Happy JohnMcCainDay
hasoc_en_4874,They are correct not to trust him. TrumpIsATraitor,1,They are correct not to trust him TrumpIsATraitor
hasoc_en_588,A billion people waited for four years to watch how it rains in England.   ShameOnICC .,0,A billion people waited for four years to watch how it rains in England ShameOnICC
hasoc_en_4391,DoctorsProtest   DoctorsUnderOppression   DoctorsFightBack   Well done friends. Don't meet arrogant Mamta. Government must pass ordinance to protect medical staff on urgent basis.  mamtafrustrated India  WestBengal,0,DoctorsProtest DoctorsUnderOppression DoctorsFightBack Well done friends होंट meet arrogant ममता Government must pass ordinance to protect medical staff on urgent basis mamtafrustrated India इटरनल
hasoc_en_2281,Trump Tweets About Epic Interview Fail &amp; Gets Mocked Like A Clown TrumpIsATraitor VoteBlue2020,0,Trump Tweets About Epic Interview Fail amp Gets Mocked Like A Clown TrumpIsATraitor VoteBlue2020
hasoc_en_620,"Who are you?  OUTSIDER.  Who are we?   OUTSIDER.  Who are they?  OUTSIDER.    Outsiders, Outsiders, Outsiders........O@&amp;%*^    DoctorsFightBack DoctorsProtest",0,Who are you OUTSIDER Who are we OUTSIDER Who are they OUTSIDER Outsiders Outsiders OutsidersOamp DoctorsFightBack DoctorsProtest
hasoc_en_1512,This tweet is only in solidarity of of all my Doctor friends across the country. You deserve better than this. Way better than this.     DoctorsFightBack .,0,This tweet is only in solidarity of of all my Doctor friends across the country You deserve better than this Way better than this DoctorsFightBack
hasoc_en_2549,ImranHataoMulkBachao ImranKhan Must  retweet  MustWatch Budget2019 AwamDushmanBudget ImranKhanAddressesTheNation    mustretweet,0,ImranHataoMulkBachao मन्थन Must retweet सुस्थितिक Budget2019 AwamDushmanBudget ImranKhanAddressesTheNation स्ट्रीट
hasoc_en_3895,DoctorsFightBack Angry Relatives Of Patients roughing up and mishandling Doctors is old story. So is protest by Doctors to counter such misbehaviour. But BJP has achieved a first by converting this into Muslims vs Doctors.,0,DoctorsFightBack Angry Relatives Of Patients roughing up and mishandling Doctors is old story So is protest by Doctors to counter such ब्यवहार But BJP has achieved a first by converting this into Muslims vs Doctors
hasoc_en_2917,GandiNaaliAbuse hey you supporters of Gandi Naali abuser say that person does not know Hindi. Was he intending to speak in Italian language which is not a language in Indian Parliament. The same abuse should apply to those who shower it.,1,GandiNaaliAbuse hey you supporters of एन्डी आली abuser say that person does not know Hindi Was he intending to speak in Italian language which is not a language in Indian Parliament The same abuse should apply to those who shower it
hasoc_en1_4829,sir your point is very relevant & real. Most of the economist's are inspire with western countries economy. But we have different economy our issues are different. Our economy based on agriculture & small scale industries & businesses.,0,sir your point is very relevant real Most of the economists are inspire with western countries economy But we have different economy our issues are different Our economy based on agriculture small scale industries businesses
hasoc_en_1583,Being a doctor onbehalf of entire medical fraternity.   Savethedoctors SAVETHESAVIOUR DoctorsProtest   DoctorsFightBack   medicalstudent DoctorsStrike   DoctorsUnderOppression,0,Being a doctor बहल of entire medical fraternity Savethedoctors SAVETHESAVIOUR DoctorsProtest DoctorsFightBack मेडिसिन DoctorsStrike DoctorsUnderOppression
hasoc_en_824,"Driving down Sepulveda Boulevard this morning I had to stop and pull over and take a picture of this fucktrump _revok_  here in vannuys losangeles photography @ Van Nuys, California",0,Driving down Sepulveda Boulevard this morning I had to stop and pull over and take a picture of this ट्रम्प _revok_ here in पैनस लासएंजेल्स photography Van Nuys California
hasoc_en_402,Holy Sh*t between  and  I don’t know who is the bigger douchebag CanadaGP,1,Holy Sht between and I डोंट know who is the bigger डूश कैनेडा
hasoc_en_5451,Treason in the WH. Republicans in Senate all complicit     FUCKTRUMP    🔥👉🏻🍄👈🏻🔥,1,Treason in the WH Republicans in Senate all complicit FUCKTRUMP
hasoc_en_782,can keenly look into wht is on  gloves but cannot properly plan a tournament vch comes once in 4yrs CWC19 RainStopsMatch ShameOnICC,0,can keenly look into वोट is on gloves but cannot properly plan a tournament विच comes once in 4yrs CWC19 RainStopsMatch ShameOnICC
hasoc_en_3078,"So far, 4 matches have been dusty by rain Why do not understand  before making your biggest event? While Dhoni's gloves look so much!😏  CWC19 INDvNZ dhonikeepstheglove",1,So far 4 matches have been dusty by rain Why do not understand before making your biggest event While होनी gloves look so much CWC19 INDvNZ dhonikeepstheglove
hasoc_en_4561,"KellenWinslowII trial: Guilty of rape, indecent exposure, lewdconduct  convictedrapist Rapist Homelesswoman Homeless Chargers sexualharassment Sexualassault Sexualmisconduct Sexabuse sexassault sexcrimes NFL",1,KellenWinslowII trial Guilty of rape indecent exposure lewdconduct convictedrapist Rapist Homelesswoman Homeless Chargers हैरेस्मेंट Sexualassault Sexualmisconduct एब्यूज़ sexassault सीरीज़ NFL
hasoc_en_2715,——     hitched himself to the TrumpTrain of lies today.      Chris will get an education as he’s dragged through the mud.     Sad!    VoteBlueNoMatterWho   TrumpIsATraitor     ——-,1,hitched himself to the TrumpTrain of lies today Chris will get an education as hes dragged through the mud Sad VoteBlueNoMatterWho TrumpIsATraitor
hasoc_en_5738,Shut it up Chuckles! How about those dads who now have one less child thanks to them being murdered by illegals. Leave it to a Democrat to turn Father’s Day into politics. DickHead,1,Shut it up Chuckles How about those dads who now have one less child thanks to them being murdered by illegals Leave it to a Democrat to turn Fathers Day into politics पकड़
hasoc_en_1119,Georgepopodoplis   Say it with us GEORGE POPODOPOLIS  Not benghazi.     trumprussia only hire the best people.    Benghazi GymJordan   Milkshake douchebag,0,Georgepopodoplis Say it with us GEORGE POPODOPOLIS Not बेनगाजी प्रुशिया only hire the best people Benghazi मोरन Milkshake डूश
hasoc_en_5410,"I wonder if his cult/followers are going to watch it since it's not on their only news station,  fox. TrumpIsATraitor TrumpRussia TrumpsAnInternationalDisgrace",1,I wonder if his cultfollowers are going to watch it since its not on their only news station fox TrumpIsATraitor रूसियों TrumpsAnInternationalDisgrace
hasoc_en_4807,PHIvsATL why does Gabe Kapler look like he just needs a good ass whipping? douchebag,1,PHIvsATL why does अबे एप्लायर look like he just needs a good ass whipping डूश
hasoc_en_2296,"DhoniKeepsTheGlove   DhoniKeepTheGlove   DhoniKeSaathDesh     Sir please do not change your gloves,  please sir...",0,DhoniKeepsTheGlove DhoniKeepTheGlove DhoniKeSaathDesh Sir please do not change your gloves please sir
hasoc_en_477,sharethetrophy yeswekane ICC retains kumardharmasena in elite panel.. A World Cup was robbed on the back of umpiring errors. What’s the message ICC building here? nzrobbed backtheblackcaps,0,sharethetrophy सेखाने ICC retains वर्धमान in elite panel A World Cup was robbed on the back of umpiring errors Whats the message ICC building here रिब्ड backtheblackcaps
hasoc_en_292,It is obvious the whole thing is staged.,0,It is obvious the whole thing is staged
