text,label,moh_text
I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,no,I am very sorry to say साफ़ दिल शिल्पा के fans ह्वेन के दिल मेन क्या : हैं: वो भी समझते हैं हद होती : हैं: नफ़रत की भी
"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",no,कदामत समझकर Mai ESS तर्क़ पे purey42mahino मेंइ पहुंचा हूँ k असली वजह MUSLIM तेढ़ा Jo kabiPartitionRamTempleGauMataBharatMaataKiJai अंदेरा आस्ताँ एक PremiGaddaarBachche ज्यादा 5Bibiya25Bachche k सफ़र थाई करते Huey TAJMAHAL p जेक अटका : हैं:
I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 ‚Ä¶,yes,I hate सपना यार Coz खुद को तो चलाना आती nae और hum agar तेज़ चलेंगे तो टोकना शुरु धीरे से चलाओ Ä
"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",no,Ha rem emoji I hate this emoji मुझे नागिन की hi याद आती आई
Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,yes,Hate हिना too much irritating n bat कर्णे का तमीज़ नहीं : हैं: यूएनएमई को insult कर्ण एटीआई : हैं: उनको और कुछ नहीं एटीआई बहुत insecure : हैं: वो लड़की
Sir apki fav kon hai iss seasn mai??,no,Sir आपकी fav क्यों : हैं: आइएसएस सीज़न माई
Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,no,मेहनत to school me copy करके लिखने me b लगती : हैं: fir illegal किन तन्की को b लगती : हैं: fir नफ़रत किन ऐसे लेकर घर की औरत का सम्मान बेच doge क्या पैसे और मेहनत के लिये आप
"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",no,अदला वो hay जो फैरड जुर्म की bad भी गिरफ्तार नहीं होता money trail नहीं देता और सज़ा नहीं मिलती 14 murder कर्ता hay और फांसी नहीं लगती
aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,no,और ye बारून का comeback show था कोई q नहीं देखना चाहेगा लेकिन fir b नहीं देख पाएँ माई शिवानी को q hate करू मुझे उसकी acting नहीं अच्छी लगी जो मुझे लगा वो मैने कहा वो मेरा opinion : हैं:
Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392¬†‚Ä¶,no,Sir जी ab ye possible नहीं : हैं: बहुत नफ़रत : हैं: दोनो or ab एक hi रस्ता : हैं: सरहद के लकीर को मीता कर hi ye खाता ho शाक्त : हैं: जिन्नाह साहब to mar गए or नेहरू जी भी ab fir से एक कर्ता : हैं: दोनो मुल्क को अखण्ड भारत एक भारत
"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",yes,Code पट्टा : हैं: तो पहने do मुझे project से नफ़रत ho : गई: : हैं: मुझे development team से घटने do
Arsi bahar jani chahiye.... I hate arsi khan,yes,आरएसआई बहार जानी चाहिए I hate टारसी khan
Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,no,छा बाटा दिया hum n show hi नहीं देखा था बीआरआई कर्ता कुछ नहीं सिर्फ़ mAA बनता h क्र हिना को hate
"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",yes,Karachi say agencies पंजाबी पहनो को अटल केकय क्यूँकि है गाऊँ भाईजी हैं देखें मोहाज़िर खिलाफ नफ़रत पैदा ho
Kaahe ke Hindu bhamhanwadi se nafrat hai bus,no,आहे के Hindu बावादी से नफ़रत : हैं: bus
aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,no,आज अर्श़ ने जो लाट एस्कैन बिछड़े मेंइ मरी थी वो photo twit करो भाई जुल्दी से
Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,no,Ar tag करो की कोंकणा देश hyena को मूँह मेंइ हद डला छाता h ya लाट मरना अर्श़ की तरह
Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,no,Gf खून पीने k लिये होती : हैं: और अपने बाबू को थाने हिलने k लिये बास
Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,yes,आ भाई Ye मूर्ख log की hatred अपनी लिये मिलीज़ की बेला ban k आयी : हैं: Lets screw this haters WeSupportPadmavati
Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,no,Abe बिग boss show me बाकी contestants भी : हैं: उन से related news देता सिर्फ़ sari updates हिना से related देता हवाओं भी hate बलिहारी : हैं: बकरी चार चार कर्ता रहता हिना k bare me
Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a¬† via @YouTube,no,Stone Miracle of हज़रत Imam ह्सैन RA Wo पत्थर इस Se भी एक हूँ कहता आई via
Pappu ka ye saja phansi se kam nahi,no,अप्पू का ye साजा फांसी से काम नहीं
Sir phansi nahi. .. sirf looted money wapas chaiya,no,Sir फांसी नहीं सिर्फ़ looted money वापस छैंया
"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",yes,: हैं: ye log आनर्स killing मेन विश्वास रखने वालो me से हैं खुद दूसरी की बहन को din रात छेड़ेंगे किसीने इनकि बहन पे टिप्पणी भी करदी तो murder वीर की चमकी देते हैं
Aap log kabhi America ki dalali karto kabhi nafrat,no,आप log कभी America की दालि करो कभी नफ़रत
Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424¬†‚Ä¶,no,Agar इससे love कहते तो hum जो करते उससे क्या hate twittercomDrrSanketstatus92863167995879424Ä
bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,no,बहन चुदाई पहली बार किसने hail हिटलर कहा : हैं: नहीं तो हिटलर को सभा साचा वाला गालियाँ देते : हैं:
#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,yes,न्रेन्द्र मोदी u r a hopeless PM अपने गरीब को मार डाल I hate u सिर्फ़ आप बोल बच्चन देते ho करते कुछ भी नहीं U r fake person
Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,no,Provinces or Banana to अच्छी बात hay एगार Pakistani bun Jana to अख्तर की बात हुई ना आत बात p नफ़रत चाई नहीं
Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,no,चा तोहू उन per quota system लगा Ya उनको प्रजाब say बहरे निकाला जैसा मोहाजिरोन को निकाला इंटर सिन्धु say इनकि industry नेशनलिज्म होई उनको पुजाबी nay नफ़रत say पुकरा जैसा िंसधी पुकारता thy Punjab ने उनको क़ाबू क्या लकीरें िंसधी ने hum को नहीं क़ाबू क्या
Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,no,Bhutto Sb ज्यूक नहीं फांसी char गई से कहो माफ़ी नाम वापस ले कर फांसी char जाए फिर मानूँ or ग्रान्दे message bi कार्य pare गे
Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,no,परवेज़ मुशर्रफ़ आवाज़ शरीफ़ की तरहा घटिया इंसान चोओर और सावन का पैसे लूटना वाला नचे था अलस्त घटिया इंसान नवाज़ शरीफ़ को फांसी do मोटार gang k साथ
Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,no,इस country me सभा से काम rape होते हैन वहाँ का कानून लाग होना चाहिए इन्डिया me अभि in दरिंदों का कुछ इलाज ho शाक्त : हैं:
Dont hate. You nanhi si jaan. Aur ek tu woh b,no,होंट hate You नंदी सी जान उर एक तू वो b
mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,yes,मुझे to दोनो से hi नफ़रत he par BJP से मुझे इतनी नफ़रत he ज़िन्दगी me इसे vote नहीं दूँगा क्यूँकि ye party vote के लायक hi नहीं he
Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,no,Ye shocked h या Lat पीएडीआई h इसे ऋषि से जबरदस्त खाना खिलायेगी n जिला के लड्डू सलमान ने भिजवा दिए
Haha farzi hatred spreading moron @shaileshgam  blocked me.....,no,अहा फ़र्ज़ी hatred spreading moron blocked me
ye vidya salman se bhut bdi celebrity h.,no,ye विद्या सलमान से बहुत बड़ी celebrity h
Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,no,जाल to उससे अच्छा कहा जाता : हैं: जो डॉ. आहमद ya तारिक फ़तह जैसे महापुरुष दिल वो जान से मनते हाए नफ़रत पहलने log आपके guru ho सकते मेरा नहीं लिये विवेकानन्द जैसे साक्षी जो कहते the हिन्दूस ya मुस्लिमों her इण्डियन are my brother
"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",yes,as a अक्षरा i hate हिना khan but जैसे hi उसने is घर m अपने आप को दिखाया : हैं: i रेस्ट her भाई कितना भी गलती करलो बंदी अपने आपको शाही proof कर देती : हैं: वा or जिनको footage चा वो हिना हिना करते रहते : हैं: हिना किस किस को पलेगी show अपनी image बनाओ सभा
Salman bahut bda chutiya h. ..sirf shilpa ka side leta h.  Kaaaminaaaa....phone pe bhe shilpa se baat kia.   Chutiya.  I hate this biased show ...abe dhang se host kr.    Isbar unfair #LuvTyagi #eyehinakhan #ipriyanksharma,yes,सलमान बहुत बड़ा मूर्ख h सिर्फ़ शिल्पा का side लेता h Kaaminaaphone पे बहे शिल्पा से बात क्या मूर्ख I hate this biased show अबे ढँग से host क्र सब्र unfair LuvTyagi eyehinakhan प्रियंका
Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,yes,आएगा jab take अलिया की शादी age pass आयेगी क्योंकि अलिया said 30ki होंठ hi won शादी कारगी वरुण भी कितना कुता : हैं: Natasha का शादी का सपना this अलिया के साथ शादी की बात पाकी कर की hate वरुण अलिया सिड please career पे focus करो लोवे अलिया के banner से film mat करो
"mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.",no,मुहाजिरोन से किसी को बहे नफ़रत नचे मोस्टली log मोहाजिरोन की tragedy को समझते हस्तिनापुर but अल्ताफ़ हुसैन ने अटल o घबड़ाकर के मोहाज़िर cause को बद्नाम कर ड़ीआइए : हैं:
Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,no,आँ हम तिलक देकर छोड़ देते हैं जलाते नहीं हैं मार्टन को ya किसी भाभा को rape कर्णे के लिये नहीं देते हैं
Pata nahi log kyun rape karte he farziwal ke sarkar me har 1 km par spa khula he aap bhi add kar do rape kam hi jayenge,no,एटीए नहीं log क्यूँ rape करते he फर्सवाल के सरकार me हर 1 km par spa खुला he आप भी add कर do rape काम hi जायेंगे
"Ye kasisi sacchai Hai RSS wale Bomb banate Hai aur media Raafiya Naaz ko lekar Muslmano ke khilaf zaher ugalta Hai kub Tak aisa chalega,",yes,Ye किसी सच्चाई आई RSS wale Bomb बनाते आई और media आइया नाज़ को लेकर दुश्मनों के खिलाफ जहर उगलता आई याकूब एक ऐसा चलेगा
apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,no,अपने personal hatred k लिये सराक का नाम बदनाम क्र रहे : हैं: chutiyebhakts को support कैसे क्र शाक्त : हैं: कोई loll
Red sy kyunky red tumhe meray khoon ki yaad dilay ga <3,no,Red आशय क्योंकि red तुम्हें मेरी खून की याद दिलाईं ग 3
"is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai ,or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ,,ye is ghar ki khasiyat hai ..3 people are real..sapna akash or hina.baki sab fake or banwti hai. #BB11",no,is घर main आपको जिस इन्सान से नफ़रत ho समझ lo वो इन्सान नफ़रत के लायक नहीं : हैं: बल्कि इज़्ज़त के लायक : हैं: or जिस्को देखके इज़्ज़त का दिल करे समझ lo वो बहरूपिया : हैं: ye is घर की खासियत : हैं: 3 people are आपना आकाश or शिनाकी सभा fake or बनती : हैं: BB11
Ek  Ara ke Bjp ke jila mahamantri  Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum  .,no,Ek Ara के Bjp के जिला महन्ती धीरेन्द्र सिंह से सारे आम Road छाप leader सुरेन्द्रराय सिंह or उसके bodyguard टिंकू सिंह murder कर्णे के उद्देश्य से आ कर मारवा चला जाता : हैं: or हमारी BJP के कार्य कर्ता ऐसे hi बैठे साईकल ye घटना आप or Hum
Pichle 2 month se jio ka net 50K/s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,no,पिछ्ले 2 month से जियो का net 50Ks से ज्यादा जाता भी नहीं : हैं: कुछ भी online देखें to buffering के वीना समभाव hi नहीं : हैं:
4G bolkar 2G ka speed mil raha hai ye sara sar dokha hai .I hate jio,yes,4G बोकर 2G का speed mil रहा : हैं: ye सारा सार धोखा : हैं: I hate जियो
tujhe murder kar dungi main!,yes,तुझे murder कर दूँगि main
I hate weddings ye madrchod log 1 ghante se ghar k niche dhol baja rhe h,yes,I hate weddings ye कमीने log 1 घंटे से घर k niche ढोल बाजा रहे h
Haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,no,आँ कुछ log to ट्विस्टर से v murder क्र सकते हैं अपनी घटिया tweets से आयी
Humidity ka kam tu mat kar rape hua he bhi ki ni 95%case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,no,Humidity का काम तू mat कर rape हुआ he भी की नहीं जैसी झुत होते he fashion ban गया he ye फ़सल मोटा कामा tum मूर्ख media की वजह से
"Hina apni galti manane ko tayar hi nahi hoti.wo hai kya ki usko itna ghamand hai,sabko bolti hai ye mera class nahi,fake lady,arshi bahut acchi hai is heena se,I hate her",yes,आईएनए अपनी गलती मनाने को तैयार hi नहीं होती : हैं: क्या की उस्को इतना घमंडी सबको बोलती : हैं: ye मेरा class नहीं आदर्श बहुत अच्छी : हैं: is हिना से hate her
Jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliye.Aropi ladki jhute fasa deti he 95%forg,yes,इस par नीति he वहीं जनता he ye media बहन की चुदाई rape rape चिल्लाई he साच कच्छ or होता he इसीलिए लड़की झुटे फ़सा देती he फ़ोर्ज
"Chatukarta ke baare me to Maine Suna hai BJP ne ab tak ke saare record tor diye lab ke. Ab to Pehchaan hi yahi hai DOOSRI buri zubaan, gaaliyan aur sachchayee, imaandaari aur aqal se nafrat.",no,धातुकथा के बारे me to Maine उना : हैं: BJP ने ab तक के सारे record tor दिए lab के Ab to पहचान hi यही : हैं: DOOSRI बुरी ज़ुबान गालियाँ और सच्ची इमानदार और बाल से नफ़रत
Saheb 60 sal.Kyabhutta. bun rahe tha or. Kabhi cort nahi gaye ho pahle pata karo rape ke 95%case forge hote he tum jaise media kanon banwaya,no,साहेब साठ_num आर्यभट्रट bun रहे था or अभि कोर्ट नहीं गए ho पहले पाटा करो rape के जैसी forge होते he tum जैसे media कानों बनाया
lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,yes,लो true कोई की उसकी जो आवाम हसीना जो is दुनियां से भार जहाँ से जादु आया था वहाँ के log ऐसे करते : हैं: और खुद बुद्धि : हैं: और दूसरों को बोलती कितना makeup कृति : हैं: खुद असली pic देख लेंगी ना जिससे दीन खुद से नफ़रत कर्णे लगी अर्श़
@JioCare mere aria me jio ka speed 50K/s se jyada  milta hi nahi hai .Aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,no,mere aria me जियो का speed 50Ks से ज्यादा मिलता hi नहीं : हैं: ईसाई समभाव hi नहीं : हैं: की वीना buffering का कोई video online देख ले
4G ke naam par 2G mil raha kai,no,4G के नाम par 2G mil रहा काय
Aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,no,ईसाई hi रहा to recharge समाप्त hone के बाद जियो चोर कर किसी और me चले जायेंगे
"Sanitary Napkin bhi sasti ho gayi Pahan le , Bahut khoon fek raha tum logo ki dukan se",no,Sanitary Napkin भी सस्ती ho : गई: जहान ले बहुत खून फेंक रहा tum logo की दुकान से
Aaj to Salman bhi chupke se bol Gaye k I hate Hina and agree with #Arshi fir bhi Hina k andhe bhakto ko dhik nhi raha,no,आज to सलमान भी चुपके से बोल अये k I hate आईएनए and agree with ऋषि fir भी आईएनए k अँधे बहको को अधिक नहीं रहा
"Sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ,ab logo k ghar me v suru ho gye",no,अभि जगह to media wale नफ़रत or झगड़े to फैला hi रहे : हैं: ab logo k घर me v शुरु ho गए
30 saal Punjab ki awam ka khoon choosnay walay Sharif brothers aaj Tak saverage ka nizam theak nai kar sakay..,no,तीस_num साल Punjab की आवाम का खून चूँ वाला Sharif brothers आज एक एवरेज का निजाम थे नयी कर साका
#Hina ko main dekhna or Soonna pasand Nahi karta I hate #HinaKhan,yes,आईएनए को main देखना or सूना पसंद राही कर्ता I hate नाहन
Tujhe nafrat hoti hai na pando se.. Tu bhi pandi hi hai.. Ek kaam kr.. Ek baap ki aulaad hai to ek dalit se shadi krio. Dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h.. Mai ek dalit se pyar krta hu aur shadi bhi krunga usise.,yes,मुझे नफ़रत होती : हैं: ना पान्दो से Tu भी पण्डितों hi : हैं: Ek काम क्र Ek बाप की पौलाद : हैं: to एक दलितों से शादी रियों देखते हैं की तुझे सिर्फ़ यहाँ publicity चाहिए ya तू सच्ची h Mai एक दलितों से प्यार कर्ता हूँ और शादी भी करुँगा उसीसे
What's wrong with Sapna... Samjhti kya hai... After Hina I hate her... Kitna attitude hai... Karna kuch nahi hai bas bakwas karni hai.... #BB11,yes,Whats wrong with अपना समझती क्या : हैं: After आईएनए I hate her इतना attitude : हैं: मरना कुछ नहीं : हैं: बास बकवास करनी : हैं: BB11
Har election ke pahiley Janta ke samne kuch tukde fenk diye hate hain,no,अर election के पहिले अंत के सम्ने कुछ टुकड़े फेंक दिए hate हैं
Mera Khoon khaula tha q ki wo movie Boycott Khan ki wajah se hui thi aur Ye Rajpoot ki wajah se...,yes,एरा हूँ खुला था q की वो movie Boycott Khan की वजह से हुई थी और Ye राजपूत की वजह से
I hate this Sapna so much  itna ghamand kisliye bhai?,yes,I hate this अपना so much इतना घमंडी किसलिये भाई
Bhai ji aap ko Kya karna hai birthday manaye ya nhi manaye...aap apna kaam theek se toh karna sheekho..jhut or jumlaa aap k khoon mai hai,no,: हैं: जी आप को या कर्ण : हैं: birthday मनाएँ ya नहीं मनाया अपना काम ठीक से तो कर्ण सीखो or जुम्ला आप k खून माई : हैं:
Hina ne Shilpa ji ko kitna Acha Bola hai ki humare profession main make-up lagana padta hai aapki aadat chhoot gayi hogi,no,आईएनए ने शिल्पा जी को कितना चा Bola : हैं: की हमारे profession main makeup लगना पड़ता : हैं: आपकी आदत अछूत : गई: होगी
Padmavati Ka Dusra Khoon Sunkar Kano Se Khoon Nikalne Waala Aur Deepika Ko Dekhte Hi Vomiting. Koi Itni Ugly Kesi Dikh Sakti Hai Bhai.,no,पद्यावती Ka दूसरा हूँ सुनकर Kano Se हूँ निकलने आला उर दीपिका Ko देखते Hi Vomiting Koi इतनी Ugly ईएसआई लिख शक्ति आई : हैं:
Arshe jaisii Gandi tho nahi hai hina...we love hina we hate Arshi n Akash,yes,आरएसएच जैसी एन्डी tho नहीं : हैं: हिना love हिना we hate ऋषि n आकाश
"Punjabion ne Punjabion ko maara. Isliye nahi jataya aap ne. Kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo, kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do. Ab is main koi aur kia kare jo Punjabion ne khud aik doosre ke saath kia? https://twitter.com/samar_abc/status/929395873695617024¬†‚Ä¶",no,पुजाबी ने पुजाबी को मारा इसलिए नहीं जताया आप ने इसी ने नहीं कहा था अपने hi ज़ात पात मोहल्ला की असुरों का rape करो किसी ने नहीं कहा था लायक दूसरे के तलवारों से शहीद कर do Ab is main कोई और क्या करे जो पुजाबी ने खुद लायक दूसरे के साथ क्या
Bhai wo hate story ki stages hoti hn..,no,: हैं: वो hate story की stages होती हैन
Bohat hi fazool. college se sakht nafrat hai. Mujhe 10th ki chuttiyan wapis la do,yes,देहात hi फ़िज़ूल college से सख्त नफ़रत : हैं: मुझे 12वीं की छुट्टियाँ वापस la do
@deepikapadukone ne SRK ko attitude dikhaya tha.,no,ने SRK को attitude दिखाया था
Better hai sab milke kuch accha socho acchi sarkar yuva sarkar banao kuch progress karo milke jisse desh ki taraqqi ho.,no,Better : हैं: सभा मिलके कुछ अच्छा सोचो अच्छी सरकार युवा सरकार बनाओ कुछ progress करो मिलके जिससे देश की तरक्कि ho
"Bhai movie nai Dekhi par Sanjay Leela ko jaante hai, aapko agar pata hota kei ye Saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte. To aap ye bakwaas nai krte",no,: हैं: movie नयी देखी par संजय नीला को जान्ते : हैं: आपको agar पाटा होता केली ye Saab राजपूतों से नफ़रत किन करते : हैं: or एक बार नयी ye अपनी काय फ़िल्मों me राजपूतों o को नीचा दिखने का कोई मौका नयी छोड़ते To आप ye बकवास नयी करते
"Lol maine pura thread kiya tha, wo dekha nai? KARMA IS REAL.",no,Lol मैने पुरा thread किया था वो देखा नयी KARMA IS REAL
LEKIN TUM SAB LOG PERSONAL HATE KI WAJAH SE CHUTIYAPA KARTE HO,no,LEKIN TUM SAB LOG PERSONAL HATE KI WAJAH SE CHUTIYAPA KARTE HO
